Week,Reporting starts,Reporting ends,Ad name,Amount spent (ILS),Results
2026-W26,2026-06-25,2026-07-01,Mens Ad A,2.08,0
2026-W26,2026-06-25,2026-07-01,Mens Ad J,209.90,0
2026-W26,2026-06-25,2026-07-01,W 2603_1,5.36,0
2026-W26,2026-06-25,2026-07-01,W 2606_1,180.79,10
2026-W26,2026-06-25,2026-07-01,Womens Ad P,14.80,0
2026-W27,2026-07-02,2026-07-08,Mens Ad A,0.55,0
2026-W27,2026-07-02,2026-07-08,Mens Ad J,206.99,8
2026-W27,2026-07-02,2026-07-08,W 2603_1,3.71,0
2026-W27,2026-07-02,2026-07-08,W 2606_1,205.62,0
2026-W28,2026-07-09,2026-07-15,Mens Ad A,1.16,0
2026-W28,2026-07-09,2026-07-15,Mens Ad J,210.73,0
2026-W28,2026-07-09,2026-07-15,W 2603_1,8.45,0
2026-W28,2026-07-09,2026-07-15,W 2606_1,207.17,4
2026-W29,2026-07-16,2026-07-22,Mens Ad A,4.24,0
2026-W29,2026-07-16,2026-07-22,Mens Ad J,209.18,6
2026-W29,2026-07-16,2026-07-22,W 2603_1,10.18,0
2026-W29,2026-07-16,2026-07-22,W 2606_1,195.05,2
2026-W30,2026-07-23,2026-07-29,Mens Ad A,1.86,0
2026-W30,2026-07-23,2026-07-29,Mens Ad J,212.52,4
2026-W30,2026-07-23,2026-07-29,W 2603_1,3.32,0
2026-W30,2026-07-23,2026-07-29,W 2606_1,207.84,0
2026-W31,2026-07-30,2026-08-05,M 2607_1,167.68,4
2026-W31,2026-07-30,2026-08-05,Mens Ad A,4.00,0
2026-W31,2026-07-30,2026-08-05,Mens Ad J,23.12,0
2026-W31,2026-07-30,2026-08-05,W 2603_1,0.72,0
2026-W31,2026-07-30,2026-08-05,W 2606_1,23.22,0
2026-W31,2026-07-30,2026-08-05,W 2607_1,181.95,4
2026-W32,2026-08-06,2026-08-12,M 2607_1,211.23,6
2026-W32,2026-08-06,2026-08-12,Mens Ad A,4.48,0
2026-W32,2026-08-06,2026-08-12,W 2603_1,12.77,0
2026-W32,2026-08-06,2026-08-12,W 2607_1,201.92,0
2026-W33,2026-08-13,2026-08-19,M 2607_1,143.20,2
2026-W33,2026-08-13,2026-08-19,Mens Ad A,33.59,0
2026-W33,2026-08-13,2026-08-19,Mens Ad B,34.34,2
2026-W33,2026-08-13,2026-08-19,Mens Ad J,15.90,2
2026-W33,2026-08-13,2026-08-19,W 2603_1,18.56,0
2026-W33,2026-08-13,2026-08-19,W 2607_1,156.80,0
2026-W33,2026-08-13,2026-08-19,Womens Ad A,38.03,0
2026-W34,2026-08-20,2026-08-26,Mens Ad B,139.41,4
2026-W34,2026-08-20,2026-08-26,Mens Ad J,55.05,2
2026-W34,2026-08-20,2026-08-26,W 2603_1,0.22,0
2026-W34,2026-08-20,2026-08-26,Womens Ad A,207.86,4
2026-W35,2026-08-27,2026-09-02,Mens Ad B,74.10,4
2026-W35,2026-08-27,2026-09-02,Mens Ad J,22.84,0
2026-W35,2026-08-27,2026-09-02,W 2603_1,2.87,0
2026-W35,2026-08-27,2026-09-02,Womens Ad A,88.77,0
