"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2022-12-01,2026-01-01,"Post: ‎""‎""לפגוע באחר זה לפגוע בעצמך. לעמוד מול כוחניות...‎""‎",archived,1,actions:onsite_conversion.messaging_conversation_started_7d,50,"Using campaign budget",0,50,1797,1211,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Post: ‎""‎""לפגוע באחר זה לפגוע בעצמך. לעמוד מול כוחניות...‎""‎"
2022-12-01,2026-01-01,"Post: ""“To injure an opponent is to injure yourself. To...""",archived,1,actions:onsite_conversion.messaging_conversation_started_7d,50,"Using campaign budget",0,50,2507,1537,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Post: ""“To injure an opponent is to injure yourself. To..."""
2022-12-01,2026-01-01,"Post: """"Aikido - это не только боевое искусство, но и...""",archived,1,actions:onsite_conversion.messaging_conversation_started_7d,50,"Using campaign budget",0,50,1888,1193,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Post: """"Aikido - это не только боевое искусство, но и..."""
2022-12-01,2026-01-01,"Post: ‎""‎ان تؤذي او تصيب خصمك يعني ان تأذي نفسك ،لكن ان...‎""‎",archived,,,,"Using campaign budget",0,50,1997,1136,2023-04-28,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Post: ‎""‎ان تؤذي او تصيب خصمك يعني ان تأذي نفسك ،لكن ان...‎""‎"
2022-12-01,2026-01-01,"Post: ‎""‎""לפגוע באחר זה לפגוע בעצמך. לעמוד מול כוחניות...‎""‎",archived,2,actions:onsite_conversion.messaging_conversation_started_7d,50,"Using campaign budget",0,100,4042,2559,2023-05-02,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Post: ‎""‎""לפגוע באחר זה לפגוע בעצמך. לעמוד מול כוחניות...‎""‎"
2022-12-01,2026-01-01,"Post: ‎""‎ان تؤذي او تصيب خصمك يعني ان تأذي نفسك ،لكن ان...‎""‎",archived,3,actions:onsite_conversion.messaging_conversation_started_7d,33.33,"Using campaign budget",0,99.99,5001,2587,2023-05-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"Post: ‎""‎ان تؤذي او تصيب خصمك يعني ان تأذي نفسك ،لكن ان...‎""‎"
2022-12-01,2026-01-01,"פרסום: ‏""‏""לפגוע באחר זה לפגוע בעצמך. למנוע כוחניות מבלי...‏""‏",archived,13,actions:onsite_conversion.messaging_conversation_started_7d,23.07692308,"Using campaign budget",0,300,32036,11635,2023-10-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"פרסום: ‏""‏""לפגוע באחר זה לפגוע בעצמך. למנוע כוחניות מבלי...‏""‏"
2022-12-01,2026-01-01,"פרסום: ‏""‏""לפגוע באחר זה לפגוע בעצמך. למנוע כוחניות מבלי...‏""‏",archived,4,actions:onsite_conversion.messaging_conversation_started_7d,49.9975,"Using campaign budget",0,199.99,17674,6368,2023-10-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"פרסום: ‏""‏""לפגוע באחר זה לפגוע בעצמך. למנוע כוחניות מבלי...‏""‏"
2022-12-01,2026-01-01,"פרסום: ‏""‏‎“To injure an opponent is to injure yourself. To...‎‏""‏",archived,10,actions:click_to_call_native_call_placed,20,"Using campaign budget",0,200,41539,8601,2023-10-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"פרסום: ‏""‏‎“To injure an opponent is to injure yourself. To...‎‏""‏"
2022-12-01,2026-01-01,"פרסום: ‏""‏בתקופה המטורפת הזאת, חשוב לטפל בעצמנו, לזוז,...‏""‏",archived,257,actions:post_engagement,0.77821012,"Using campaign budget",0,200,48359,23709,2023-11-02,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0,-,-,-,"פרסום: ‏""‏בתקופה המטורפת הזאת, חשוב לטפל בעצמנו, לזוז,...‏""‏"
