campaign,ad_name,run_start_week,run_end_week,weeks_in_run,run_spend,run_leads,run_cpl
W,W 2026-W06 2,2026-W07,2026-W07,1,46.94,1,46.94
W,W 2602_3,2026-W07,2026-W07,1,140.09,2,70.045
W,Womens Ad A,2025-W52,2026-W01,2,185.85000000000002,3,61.95000000000001
W,Womens Ad B,2025-W31,2025-W33,3,275.59000000000003,4,68.89750000000001
W,Womens Ad C,2025-W31,2025-W33,3,52.99,0,
W,Womens Ad D,2025-W52,2025-W52,1,146.12,0,
W,Womens Ad E,2025-W34,2025-W34,1,80.59,1,80.59
W,Womens Ad F,2025-W35,2025-W35,1,74.85,1,74.85
W,Womens Ad G,2025-W51,2025-W51,1,38.46,1,38.46
W,Womens Ad H,2025-W38,2025-W39,2,158.07,0,
W,Womens Ad I,2025-W39,2025-W40,2,248.11999999999998,3,82.70666666666666
W,Womens Ad J,2026-W01,2026-W01,1,83.04,1,83.04
W,Womens Ad K,2025-W41,2025-W42,2,65.81,0,
W,Womens Ad L,2025-W49,2025-W49,1,147.46,1,147.46
W,Womens Ad M,2025-W50,2025-W51,2,287.05,4,71.7625
W,Womens Ad N,2026-W02,2026-W03,2,185.44,3,61.81333333333333
W,Womens Ad O,2026-W02,2026-W03,2,116.99000000000001,2,58.495000000000005
W,Womens Ad P,2026-W04,2026-W05,2,167.93,4,41.9825
W,Womens Ad Q,2026-W04,2026-W05,2,142.64,2,71.32
W,Womens Ad R,2026-W05,2026-W05,1,96.91,1,96.91
M,Mens Ad A,2025-W52,2026-W04,5,342.53,9,38.05888888888889
M,Mens Ad B,2025-W52,2026-W01,2,242.49,3,80.83
M,Mens Ad C,2025-W35,2025-W40,6,365.58,5,73.116
M,Mens Ad D,2025-W36,2025-W36,1,95.37,1,95.37
M,Mens Ad E,2025-W40,2025-W40,1,103.58,1,103.58
M,Mens Ad F,2025-W41,2025-W42,2,125.13,1,125.13
M,Mens Ad G,2025-W41,2025-W41,1,118.94,0,
M,Mens Ad H,2025-W42,2025-W43,2,229.95999999999998,3,76.65333333333332
M,Mens Ad J,2026-W04,2026-W07,4,802.14,25,32.0856
M,Mens Ad K,2025-W50,2025-W51,2,125.47999999999999,0,
M,Mens Ad M,2025-W49,2025-W51,3,305.73,4,76.4325
M,Mens Ad N,2026-W02,2026-W05,4,260.91,5,52.182
M,Mens Ad O,2026-W05,2026-W07,3,127.47000000000001,1,127.47000000000001
