iso_week,campaign,ad_name,spend,leads,cpl,intended_run
2025-W36,M,Mens Ad D,95.37,1,95.37,True
2025-W38,M,Mens Ad E,61.27,0,,True
2025-W42,W,Womens Ad K,54.76,0,,True
2025-W46,M,Mens Ad A,18.93,0,,True
2026-W08,W,W 2026-W06 1,0.0,0,,True
2026-W12,W,Womens Ad P,185.02,5,37.004000000000005,True
2026-W13,W,Womens Ad P,141.95,0,,True
2026-W13,W,W 2603_4,59.69,0,,True
2026-W14,M,Mens Ad A,91.29,2,45.645,True
2026-W14,M,M 2603_3,102.42,2,51.21,True
2026-W18,W,Womens Ad D,118.67,1,118.67,True
2026-W23,M,M 2605_1,33.66,3,11.219999999999999,True
2026-W24,M,M 2605_1,4.6,0,,True
2026-W28,W,W 2603_1,8.45,0,,True
2026-W30,W,W 2603_1,3.32,0,,True
2026-W31,M,Mens Ad A,0.0,0,,True
2025-W31,W,Womens Ad B,72.31,1,72.31,True
2025-W39,M,Mens Ad C,97.14,0,,True
2025-W40,M,Mens Ad C,118.12,2,59.06,True
2025-W41,W,Womens Ad J,219.28,3,73.09333333333333,True
2025-W48,W,Womens Ad A,132.33,1,132.33,True
2025-W50,M,Mens Ad M,195.02,3,65.00666666666667,True
2025-W50,M,Mens Ad K,24.66,0,,True
2026-W01,W,Womens Ad A,109.31,2,54.655,True
2026-W05,W,Womens Ad R,96.91,1,96.91,False
2026-W12,M,M 2603_1,64.57,0,,True
2026-W21,M,M 2605_1,157.47,1,157.47,True
2026-W23,W,W 2603_2,3.54,0,,True
2026-W26,W,W 2606_1,180.79,10,18.079,True
2025-W26,W,Womens Ad A,65.18,3,21.72666666666667,True
2025-W26,M,Mens Ad A,15.78,0,,True
2025-W33,W,Womens Ad C,16.03,0,,True
2025-W40,W,Womens Ad I,218.89,3,72.96333333333332,True
2025-W42,M,Mens Ad H,206.48,2,103.24,True
2025-W42,M,Mens Ad F,19.93,0,,False
2025-W48,W,Womens Ad D,103.64,2,51.82,True
2026-W04,M,Mens Ad A,0.68,0,,False
2026-W06,M,Mens Ad J,393.18,12,32.765,True
2026-W10,W,W 2602_4,3.43,0,,False
2026-W20,W,Womens Ad A,112.26,1,112.26,True
2026-W21,M,Mens Ad J,85.09,0,,True
2026-W23,W,Womens Ad P,16.13,0,,False
2026-W25,W,Womens Ad P,207.93,0,,True
2026-W28,M,Mens Ad A,1.16,0,,True
2025-W23,W,Womens Ad A,56.32,3,18.773333333333333,True
2025-W24,W,Womens Ad A,107.22,3,35.74,True
2025-W39,W,Womens Ad H,84.64,0,,True
2025-W41,M,Mens Ad F,105.2,1,105.2,True
2025-W42,W,Womens Ad J,20.5,1,20.5,True
2025-W49,W,Womens Ad L,147.46,1,147.46,True
2025-W51,W,Womens Ad G,38.46,1,38.46,True
2025-W51,M,Mens Ad M,95.1,1,95.1,True
2025-W51,M,Mens Ad K,100.82,0,,True
2026-W01,M,Mens Ad A,95.35,5,19.07,True
2026-W11,W,M 2603_2,8.47,0,,True
2026-W13,M,M 2603_1,3.8,0,,False
2026-W16,M,Mens Ad B,118.53,3,39.51,True
2026-W20,W,Womens Ad J,58.97,0,,True
2026-W24,W,W 2603_1,121.71,4,30.4275,True
2026-W26,W,W 2603_1,5.36,0,,True
2026-W29,M,Mens Ad J,209.18,6,34.86333333333334,True
2025-W23,M,Mens Ad B,80.76,5,16.152,True
2025-W24,M,Mens Ad A,15.24,1,15.24,True
2025-W25,M,Mens Ad A,14.85,1,14.85,True
2025-W33,M,Mens Ad B,122.87,4,30.7175,True
2025-W34,M,Mens Ad A,44.7,4,11.175,True
2025-W37,M,Mens Ad C,27.0,0,,True
2025-W43,W,Womens Ad G,20.94,0,,True
2025-W47,W,Womens Ad A,165.69,6,27.615,True
2025-W52,W,Womens Ad A,76.54,1,76.54,True
2026-W03,W,Womens Ad N,130.74,2,65.37,True
2026-W05,W,Womens Ad P,81.38,1,81.38,False
2026-W09,M,Mens Ad J,107.02,3,35.67333333333333,True
2026-W14,W,Womens Ad P,139.79,3,46.596666666666664,True
2026-W14,W,W 2603_4,61.69,2,30.845,True
2026-W15,W,Womens Ad P,88.22,2,44.11,True
2026-W15,W,W 2603_4,116.29,2,58.145,True
2026-W24,M,Mens Ad A,0.09,0,,False
2026-W27,W,W 2606_1,205.62,0,,True
2026-W31,W,W 2607_1,0.0,0,,True
2025-W32,W,Womens Ad C,31.95,0,,True
2025-W35,M,Mens Ad A,63.92,1,63.92,True
2025-W37,W,Womens Ad G,22.84,0,,True
2025-W49,W,Womens Ad D,70.96,0,,True
2026-W05,M,Mens Ad J,181.32,7,25.90285714285714,False
2026-W16,W,Womens Ad P,145.06,2,72.53,True
2026-W16,W,W 2603_4,63.95,1,63.95,True
2026-W17,M,Mens Ad B,200.14,0,,True
2026-W29,W,W 2603_1,10.18,0,,True
2025-W35,M,Mens Ad C,76.85,2,38.425,True
2025-W41,M,Mens Ad G,118.94,0,,True
2025-W47,W,Womens Ad D,111.74,3,37.24666666666666,True
2025-W49,M,Mens Ad M,15.61,0,,True
2025-W52,W,Womens Ad D,146.12,0,,True
2026-W01,M,Mens Ad B,113.59,2,56.795,True
2026-W08,M,Mens Ad B,70.49,0,,True
2026-W10,M,Mens Ad J,0.0,0,,True
2026-W16,M,Mens Ad A,102.53,1,102.53,True
2026-W19,W,Womens Ad J,99.16,0,,True
2026-W31,M,Mens Ad J,22.13,0,,False
2025-W26,M,Mens Ad B,19.9,0,,True
2025-W31,W,Womens Ad C,5.01,0,,True
2025-W35,W,Womens Ad D,62.17,4,15.5425,True
2025-W37,W,Womens Ad D,95.43,1,95.43,True
2025-W46,W,Womens Ad D,13.05,0,,True
2025-W48,M,Mens Ad J,213.5,5,42.7,True
2026-W04,W,Womens Ad P,86.55,3,28.849999999999998,True
2026-W04,M,Mens Ad N,54.04,1,54.04,True
2026-W10,W,W 2026-W06 2,0.28,0,,False
2026-W10,W,W 2603_1,89.99,2,44.995,True
2026-W19,W,Womens Ad A,65.1,3,21.7,True
2026-W26,M,Mens Ad A,2.08,0,,True
2026-W27,W,W 2603_1,3.71,0,,True
2026-W30,M,Mens Ad J,212.51,4,53.1275,True
2025-W26,W,Womens Ad C,12.51,0,,True
2025-W36,W,Womens Ad D,41.51,2,20.755,True
2025-W38,W,Womens Ad G,35.26,0,,True
2025-W40,W,Womens Ad J,19.32,1,19.32,True
2025-W48,M,Mens Ad B,13.45,0,,True
2025-W50,W,Womens Ad M,141.46,2,70.73,True
2025-W52,M,Mens Ad B,128.9,1,128.9,True
2026-W02,M,Mens Ad N,72.04,2,36.02,True
2026-W03,W,Womens Ad O,69.36,0,,True
2026-W04,W,Womens Ad Q,124.08,2,62.04,True
2026-W04,M,Mens Ad J,148.53,4,37.1325,True
2026-W09,W,W 2602_4,104.0,2,52.0,True
2026-W12,W,M 2603_2,131.34,1,131.34,True
2026-W13,W,M 2603_2,3.95,0,,False
2026-W15,M,Mens Ad A,75.05,0,,True
2026-W17,W,W 2602_4,82.96,0,,True
2026-W22,W,W 2603_2,131.67,1,131.67,True
2026-W23,W,W 2603_1,125.15,8,15.64375,True
2026-W25,W,W 2603_1,6.43,0,,True
2026-W28,M,Mens Ad J,210.73,0,,True
2026-W31,W,W 2603_1,0.23,0,,True
2026-W31,M,M 2607_1,0.0,0,,True
2025-W25,W,Womens Ad C,5.11,0,,True
2025-W33,W,Womens Ad B,142.05,2,71.025,True
2025-W35,W,Womens Ad F,74.85,1,74.85,True
2025-W36,W,Womens Ad G,97.88,3,32.626666666666665,True
2025-W37,M,Mens Ad E,51.61,1,51.61,True
2025-W39,W,Womens Ad G,20.46,0,,True
2025-W46,W,Womens Ad A,27.0,0,,True
2026-W05,M,Mens Ad N,0.16,0,,False
2026-W05,M,Mens Ad O,13.47,0,,False
2026-W11,W,W 2603_2,0.0,0,,True
2026-W17,M,Mens Ad J,0.0,0,,True
2026-W19,W,Womens Ad D,32.77,0,,False
2026-W23,W,W 2605_1,130.57,3,43.52333333333333,True
2025-W25,W,Womens Ad A,115.64,3,38.54666666666667,True
2025-W34,W,Womens Ad E,80.59,1,80.59,True
2025-W41,W,Womens Ad K,11.05,0,,True
2025-W43,M,Mens Ad H,23.48,1,23.48,True
2026-W10,W,W 2603_2,98.24,3,32.74666666666666,True
2026-W12,W,W 2603_3,9.0,0,,True
