component_type,component_id,component_name,tag_type,tag_value
media,1,Shihonage_MF_Dojo_Photo,Media_Style,Illustration - Photo Art
media,1,Shihonage_MF_Dojo_Photo,Media_Energy,Instructional / Demonstration
media,2,Outside_Sunset_MM_Kaitenage_photo,Media_Style,Photo - Outside
media,2,Outside_Sunset_MM_Kaitenage_photo,Media_Energy,Meditative / Inspirational
media,3,Kneeling_Control_Demonstration,Media_Style,Photo - Dojo
media,3,Kneeling_Control_Demonstration,Media_Energy,Instructional / Demonstration
media,4,Highfall_photo_Opher_Arnon,Media_Style,Photo - Dojo
media,4,Highfall_photo_Opher_Arnon,Media_Energy,Dynamic / Throw
media,5,Illustrated_Soft_Strength_Female,Media_Style,Photo - Dojo
media,5,Illustrated_Soft_Strength_Female,Media_Energy,Dynamic / Throw
media,6,Ikyo_pin_2M_photo,Media_Style,Photo - Dojo
media,6,Ikyo_pin_2M_photo,Media_Energy,Instructional / Demonstration
media,7,Dynamic_Throw_DoJo_Video,Media_Style,Video - Dojo
media,7,Dynamic_Throw_DoJo_Video,Media_Energy,Dynamic / Throw
media,8,Iriminage_Dyamic_MM_Dojo_Photo,Media_Style,Photo - Dojo
media,8,Iriminage_Dyamic_MM_Dojo_Photo,Media_Energy,Dynamic / Throw
media,10,Illustrated_Flow_Poster_Female,Media_Style,Photo - Outside
media,10,Illustrated_Flow_Poster_Female,Media_Energy,Dynamic / Throw
media,11,Illustrated_Calm_Poster_Female,Media_Style,Illustration - Line Art
media,11,Illustrated_Calm_Poster_Female,Media_Energy,Soft / Calm
media,12,Illustrated_Strength_Poster_Female,Media_Style,Illustration - Poster
media,12,Illustrated_Strength_Poster_Female,Media_Energy,Instructional / Demonstration
media,13,Dojo_Instruction_FemalePair,Media_Style,Illustration - Line Art
media,13,Dojo_Instruction_FemalePair,Media_Energy,Dynamic / Throw
media,14,Dynamic_Throw_FF_LineArt,Media_Style,Illustration - Line Art
media,14,Dynamic_Throw_FF_LineArt,Media_Energy,Dynamic / Throw
media,15,Swariwaza_Kokyuho_Dojo_Photo,Media_Style,Photo - Dojo
media,15,Swariwaza_Kokyuho_Dojo_Photo,Media_Energy,Soft / Calm
media,16,SumoOtoshi_MF_Dojo_Photo,Media_Style,Photo - Dojo
media,16,SumoOtoshi_MF_Dojo_Photo,Media_Energy,Instructional / Demonstration
media,17,SumoOtoshi_MF_AiArt,Media_Style,Illustration - Poster
media,17,SumoOtoshi_MF_AiArt,Media_Energy,Instructional / Demonstration
media,18,Pin_Class_photo,Media_Style,Photo - Dojo
media,18,Pin_Class_photo,Media_Energy,Instructional / Demonstration
media,19,Dojo_Instruction_MF_photo,Media_Style,Photo - Dojo
media,19,Dojo_Instruction_MF_photo,Media_Energy,Instructional / Demonstration
media,21,Tenshinage_lineart_controlled,Media_Style,Illustration - Line Art
media,21,Tenshinage_lineart_controlled,Media_Energy,Dynamic / Throw
media,22,Solo_Balanced_lineart,Media_Style,Illustration - Line Art
media,22,Solo_Balanced_lineart,Media_Energy,Meditative / Inspirational
media,23,Calm_Instruction_FF_Lineart,Media_Style,Illustration - Line Art
media,23,Calm_Instruction_FF_Lineart,Media_Energy,Soft / Calm
media,24,Munetsuki_F_Kyu,Media_Style,Video - Dojo
media,24,Munetsuki_F_Kyu,Media_Energy,Dynamic / Throw
media,25,Photo_Dojo_MF_Ikkyo_Static,Media_Style,Photo - Dojo
media,25,Photo_Dojo_MF_Ikkyo_Static,Media_Energy,Instructional / Demonstration
media,26,Photo_Dojo_MM_HandContact_Static,Media_Style,Illustration - Photo Art
media,26,Photo_Dojo_MM_HandContact_Static,Media_Energy,Dynamic / Throw
media,27,Photo_Dojo_FF_HandContact_Static,Media_Style,Photo - Dojo
media,27,Photo_Dojo_FF_HandContact_Static,Media_Energy,Dynamic / Throw
media,28,Dojo_ClassScene_Ikkyo_MF_Class_Scene,Media_Style,Illustration - Photo Art
media,28,Dojo_ClassScene_Ikkyo_MF_Class_Scene,Media_Energy,Instructional / Demonstration
